1,-0.0049321
1,-0.0044559
1,-0.0044414
1,-0.0028517
1,-0.0048616
1,-0.0023826
1,-0.0048321
1,-0.0042642
1,-0.0027632
1,-0.0043489
1,-0.0047809
1,-0.0048527
1,-0.0034678
1,-0.0052423
1,-0.0033139
1,-0.0039841
1,-0.0056344
1,-0.0041305
1,-0.0033798
1,-0.0063995
2,-0.0061138
2,-0.0040699
2,-0.0010394
2,-0.0036911
2,-0.0071593
2,-0.0048053
2,-0.0047877
2,-0.0028572
2,-0.0040511
2,-0.0034179
2,-0.0024571
2,-0.0039725
2,-0.0041079
2,-0.0032676
2,-0.0032383
2,-0.0050006
2,-0.0038473
2,-0.0031773
2,-0.0043208
2,-0.004257
3,-0.0053104
3,-0.0046035
3,-0.0041651
3,-0.0040051
3,-0.0044717
3,-0.0034033
3,-0.0047753
3,-0.0042334
3,-0.0038224
3,-0.0037318
3,-0.0035889
3,-0.0048862
3,-0.0038015
3,-0.0054514
3,-0.0043358
3,-0.0049867
3,-0.0038716
3,-0.0046936
3,-0.0043518
3,-0.00452
4,-0.0055459
4,-0.0040065
4,-0.0032447
4,-0.004
4,-0.0053314
4,-0.0035739
4,-0.0041194
4,-0.0050223
4,-0.0029779
4,-0.0038104
4,-0.0034825
4,-0.004535
4,-0.0042704
4,-0.005054
4,-0.0061108
4,-0.0010336
4,-0.0033369
4,-0.004248
4,-0.003728
4,-0.0023013
